Wiper Position,Resistance Value (Ohms),Wiper Voltage (mV)
0,0,0
1,505,39.2
2,1010,88.2
3,1515,137.2
4,2020,186.2
5,2525,220.5
6,3030,274.4
7,3535,318.5
8,4040,362.6
9,4545,406.7
10,5050,441
11,5555,499.8
12,6060,534.1
13,6565,573.3
14,7070,622.3
15,7575,656.6
16,8080,695.8
17,8585,735
18,9090,774.2
19,9595,813.4
20,10101,852.6
21,10606,896.7
22,11111,931
23,11616,970.2
24,12121,1004.5
25,12626,1048.6
26,13131,1082.9
27,13636,1122.1
28,14141,1156.4
29,14646,1190.7
30,15151,1234.8
31,15656,1274
32,16161,1308.3
33,16666,1342.6
34,17171,1381.8
35,17676,1416.1
36,18181,1455.3
37,18686,1499.4
38,19191,1528.8
39,19696,1568
40,20202,1607.2
41,20707,1651.3
42,21212,1685.6
43,21717,1724.8
44,22222,1764
45,22727,1803.2
46,23232,1837.5
47,23737,1876.7
48,24242,1920.8
49,24747,1950.2
50,25252,1989.4
51,25757,2038.4
52,26262,2077.6
53,26767,2121.7
54,27272,2170.7
55,27777,2205
56,28282,2249.1
57,28787,2288.3
58,29292,2332.4
59,29797,2376.5
60,30303,2420.6
61,30808,2464.7
62,31313,2513.7
63,31818,2557.8
64,32323,2606.8
65,32828,2650.9
66,33333,2699.9
67,33838,2748.9
68,34343,2802.8
69,34848,2846.9
70,35353,2900.8
71,35858,2949.8
72,36363,3008.6
73,36868,3057.6
74,37373,3116.4
75,37878,3170.3
76,38383,3224.2
77,38888,3287.9
78,39393,3346.7
79,39898,3410.4
80,40404,3469.2
81,40909,3532.9
82,41414,3596.6
83,41919,3665.2
84,42424,3733.8
85,42929,3802.4
86,43434,3871
87,43939,3944.5
88,44444,4018
89,44949,4091.5
90,45454,4169.9
91,45959,4253.2
92,46464,4331.6
93,46969,4419.8
94,47474,4503.1
95,47979,4591.3
96,48484,4684.4
97,48989,4777.5
98,49494,4875.5
99,50000,4968.6
